date,actual,model,period,forecast,error,abs_error,pct_error
2025-12-20,24.909510261115503,GAM,Test,27.79039129514038,-2.8808810340248776,2.8808810340248776,11.565386086783167
2025-12-21,28.500687757909215,GAM,Test,29.850151886450405,-1.3494641285411895,1.3494641285411895,4.734847593867976
2025-12-22,26.762307933521495,GAM,Test,22.10575028346666,4.656557650054836,4.656557650054836,17.39968638587482
2025-12-23,23.681173394106725,GAM,Test,25.822414027368552,-2.141240633261827,2.141240633261827,9.04195327497874
2025-12-24,34.89552289640844,GAM,Test,24.201005652737358,10.69451724367108,10.69451724367108,30.647247428900958
2025-12-25,29.191881766909553,GAM,Test,32.546818433434,-3.354936666524445,3.354936666524445,11.492704352918532
2025-12-26,36.26645069852195,GAM,Test,30.35048346954124,5.915967228980712,5.915967228980712,16.312506779776548
2025-12-27,46.655731057743715,GAM,Test,39.668517506644875,6.98721355109884,6.98721355109884,14.976109885516697
2025-12-28,39.893394022878354,GAM,Test,44.60609100124766,-4.7126969783693085,4.7126969783693085,11.81322645966557
2025-12-29,29.118253526658595,GAM,Test,30.22485661116923,-1.1066030845106347,1.1066030845106347,3.800375882768889
2025-12-30,31.294816312347987,GAM,Test,27.27915788472511,4.015658427622878,4.015658427622878,12.831704738392794
2025-12-31,33.80103759601132,GAM,Test,29.56480648244469,4.236231113566628,4.236231113566628,12.532843412080709
2025-01-01,28.859294836808203,Random Forest,Test,30.71081998500621,-1.8515251481980073,1.8515251481980073,6.415697814752231
2025-01-02,33.983246678220674,Random Forest,Test,32.45543398724426,1.5278126909764111,1.5278126909764111,4.495782011186006
2025-01-03,46.99711652426189,Random Forest,Test,37.338933343060596,9.658183181201295,9.658183181201295,20.55058670719795
2025-01-04,36.48707262338055,Random Forest,Test,47.596423400277494,-11.109350776896946,11.109350776896946,30.44736115601169
2025-01-05,39.86408639106409,Random Forest,Test,42.15234726315171,-2.288260872087619,2.288260872087619,5.740156314232136
2025-01-06,46.99033078880406,Random Forest,Test,40.32564942865509,6.664681360148968,6.664681360148968,14.183090964188102
2025-01-07,40.55820242080866,Random Forest,Test,46.049657919499076,-5.491455498690414,5.491455498690414,13.539691531972297
2025-01-08,38.662414494361265,Random Forest,Test,43.44398450193839,-4.781570007577123,4.781570007577123,12.36748938241944
2025-01-09,38.2069654078816,Random Forest,Test,41.23293210168929,-3.025966693807696,3.025966693807696,7.919934654594367
2025-01-10,46.28516506987247,Random Forest,Test,41.20022039222822,5.084944677644252,5.084944677644252,10.986121946347122
2025-01-11,39.15182619768857,Random Forest,Test,48.330683091756796,-9.178856894068225,9.178856894068225,23.44426246612763
2025-01-12,55.702100621907306,Random Forest,Test,43.65754454074602,12.04455608116129,12.04455608116129,21.62316312434407
2025-01-13,40.13026259504064,Random Forest,Test,43.22054103614594,-3.0902784411052977,3.0902784411052977,7.700618538905846
2025-01-14,37.79069767441859,Random Forest,Test,39.353816055002625,-1.5631183805840365,1.5631183805840365,4.136251714776222
2025-01-15,26.752365648991248,Random Forest,Test,38.3632748332696,-11.610909184278352,11.610909184278352,43.40142975249804
2025-01-16,28.004024042379797,Random Forest,Test,31.357333319089612,-3.3533092767098154,3.3533092767098154,11.97438365156056
2025-01-17,35.1764361302482,Random Forest,Test,35.24097388580273,-0.06453775555453234,0.06453775555453234,0.18346871557871197
2025-01-18,40.97913845415431,Random Forest,Test,41.73602927402581,-0.7568908198715008,0.7568908198715008,1.8470149652323158
2025-01-19,32.927906229929356,Random Forest,Test,45.99942686759256,-13.071520637663205,13.071520637663205,39.6973938955828
2025-01-20,21.786288663649614,Random Forest,Test,33.8425543065086,-12.056265642858989,12.056265642858989,55.33877673701647
2025-01-21,23.7448504333582,Random Forest,Test,28.161572809501404,-4.4167223761432055,4.4167223761432055,18.600758882601035
2025-01-22,23.895587383895077,Random Forest,Test,28.47404319889051,-4.578455814995433,4.578455814995433,19.160256416551526
2025-01-23,29.922319323068393,Random Forest,Test,28.51609331365403,1.4062260094143646,1.4062260094143646,4.699588939719138
2025-01-24,32.14623706011678,Random Forest,Test,35.588887627680556,-3.442650567563774,3.442650567563774,10.709342313147452
2025-01-25,35.47392254840723,Random Forest,Test,41.39931896354359,-5.925396415136362,5.925396415136362,16.703527519548047
2025-01-26,48.748572934047594,Random Forest,Test,41.03913616663532,7.709436767412271,7.709436767412271,15.81469221230833
2025-01-27,40.314434303013954,Random Forest,Test,36.854646178009325,3.4597881250046285,3.4597881250046285,8.582008367027912
2025-01-28,45.09451078954806,Random Forest,Test,37.82158257342885,7.272928216119212,7.272928216119212,16.12818963722946
2025-01-29,35.581240140759625,Random Forest,Test,41.2691100328801,-5.6878698921204744,5.6878698921204744,15.985586420313691
2025-01-30,34.54309211983404,Random Forest,Test,34.63766859570861,-0.09457647587456819,0.09457647587456819,0.273792732701726
2025-01-31,31.57414514750822,Random Forest,Test,35.18856759906996,-3.614422451561744,3.614422451561744,11.447411908306213
2025-02-01,37.88281542493448,Random Forest,Test,39.60682508109748,-1.7240096561630054,1.7240096561630054,4.550901607561781
2025-02-02,45.81435927990806,Random Forest,Test,42.882088490731874,2.9322707891761866,2.9322707891761866,6.400331326825163
2025-02-03,31.590679975578233,Random Forest,Test,41.19670933247988,-9.606029356901644,9.606029356901644,30.407795477424877
2025-02-04,36.36481446817088,Random Forest,Test,32.85538659567829,3.509427872492587,3.509427872492587,9.650613989971797
2025-02-05,35.228183672034326,Random Forest,Test,36.14386349260466,-0.9156798205703325,0.9156798205703325,2.599281953038184
2025-02-06,30.533011317363595,Random Forest,Test,34.00302469070681,-3.470013373343214,3.470013373343214,11.364792477477902
2025-02-07,30.585562543255204,Random Forest,Test,33.61127255549601,-3.025710012240804,3.025710012240804,9.892608671041234
2025-02-08,37.71872504174835,Random Forest,Test,38.358670506509846,-0.6399454647614959,0.6399454647614959,1.6966253871337984
2025-02-09,39.04062335132503,Random Forest,Test,42.54619556245924,-3.505572211134208,3.505572211134208,8.979293643924949
2025-02-10,27.01002378013907,Random Forest,Test,34.288120429709096,-7.278096649570028,7.278096649570028,26.94590981782747
2025-02-11,22.984204964154124,Random Forest,Test,29.193503539363622,-6.209298575209498,6.209298575209498,27.015502972121254
2025-02-12,23.460060389788648,Random Forest,Test,26.442538782174434,-2.9824783923857865,2.9824783923857865,12.713003900381928
2025-02-13,23.699950929032788,Random Forest,Test,26.90342745175584,-3.203476522723051,3.203476522723051,13.51680656350535
2025-02-14,29.992376619968255,Random Forest,Test,29.575991536931134,0.4163850830371203,0.4163850830371203,1.3883030621851433
2025-02-15,42.355131884652174,Random Forest,Test,37.00262105649512,5.352510828157051,5.352510828157051,12.637219127858717
2025-02-16,45.32495401594115,Random Forest,Test,45.68206851654258,-0.35711450060142624,0.35711450060142624,0.7878982082934407
2025-02-17,26.715772079931668,Random Forest,Test,35.37546539413383,-8.659693314202165,8.659693314202165,32.414160774740054
2025-02-18,24.65532112980736,Random Forest,Test,27.386138686093293,-2.7308175562859347,2.7308175562859347,11.07597642678634
2025-02-19,23.702252693437824,Random Forest,Test,26.819850439296165,-3.1175977458583404,3.1175977458583404,13.153170655046956
2025-02-20,25.606667779818572,Random Forest,Test,26.0449779523103,-0.4383101724917289,0.4383101724917289,1.711703280803975
2025-02-21,29.164125373756026,Random Forest,Test,32.12875357941577,-2.9646282056597464,2.9646282056597464,10.1653252674861
2025-02-22,32.6406264922166,Random Forest,Test,35.38296469681689,-2.742338204600294,2.742338204600294,8.401610199651728
2025-02-23,35.25046772193144,Random Forest,Test,40.26370839644067,-5.013240674509227,5.013240674509227,14.2217706557981
2025-02-24,25.39481624302725,Random Forest,Test,30.475947601022487,-5.081131357995236,5.081131357995236,20.00853760613598
2025-02-25,27.896404647618027,Random Forest,Test,26.60077070362144,1.295633943996588,1.295633943996588,4.644447771541834
2025-02-26,33.25498156952829,Random Forest,Test,27.908315457976432,5.346666111551858,5.346666111551858,16.07779003086574
2025-02-27,34.70721767907448,Random Forest,Test,32.81935178761863,1.8878658914558528,1.8878658914558528,5.439404301757316
2025-02-28,31.68834118916464,Random Forest,Test,33.75715926007492,-2.0688180709102824,2.0688180709102824,6.5286411130213535
2025-03-01,37.46844504728533,Random Forest,Test,39.274467217980884,-1.806022170695556,1.806022170695556,4.820115081947886
2025-03-02,54.61829559628759,Random Forest,Test,40.72806545272116,13.890230143566427,13.890230143566427,25.431460267886038
2025-03-03,46.4483129670848,Random Forest,Test,39.59600164351833,6.852311323566475,6.852311323566475,14.752551569359056
2025-03-04,36.47234023914853,Random Forest,Test,42.472591349827454,-6.000251110678924,6.000251110678924,16.451511121401527
2025-03-05,35.73036664522544,Random Forest,Test,33.92508226896632,1.8052843762591166,1.8052843762591166,5.0525212746462325
2025-03-06,38.3442657321712,Random Forest,Test,34.897518111689706,3.4467476204814957,3.4467476204814957,8.988951945400382
2025-03-07,35.974397942483044,Random Forest,Test,38.497588316058234,-2.52319037357519,2.52319037357519,7.013850176476457
2025-03-08,38.77252615787773,Random Forest,Test,39.14973016269749,-0.3772040048197596,0.3772040048197596,0.9728641442753143
2025-03-09,44.06351497654278,Random Forest,Test,43.652632053669024,0.4108829228737534,0.4108829228737534,0.9324787709116874
2025-03-10,40.51354997653684,Random Forest,Test,42.72291998028289,-2.209370003746052,2.209370003746052,5.453410044356998
2025-03-11,34.19838358362949,Random Forest,Test,41.51039673934722,-7.312013155717729,7.312013155717729,21.38116597773333
2025-03-12,31.373993650453443,Random Forest,Test,33.72126926135029,-2.347275610896844,2.347275610896844,7.481596500109316
2025-03-13,44.63160874796517,Random Forest,Test,33.27846850969051,11.353140238274655,11.353140238274655,25.43744345489734
2025-03-14,45.56405243790249,Random Forest,Test,43.730307236702146,1.833745201200344,1.833745201200344,4.024543698564752
2025-03-15,51.12766589878874,Random Forest,Test,47.01381051908367,4.113855379705072,4.113855379705072,8.046241320401315
2025-03-16,61.9719398600858,Random Forest,Test,51.87257239972221,10.099367460363588,10.099367460363588,16.296677953223597
2025-03-17,44.42021649404252,Random Forest,Test,47.65219880485094,-3.2319823108084194,3.2319823108084194,7.275926517021548
