model_family,forecasting_setup,model,lag,acf,n,ci,significance
Regression/ML,One-step-ahead operational forecast,Elastic Net,8,0.010281502517448415,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,9,-0.024212175632336807,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,10,-0.049782832839307574,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,11,0.07390786974623301,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,12,-0.05548059011323563,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,13,-0.08280010607674143,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,14,2.3673815793649275e-4,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,15,-0.06329771137293434,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,16,0.024392046040149544,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,17,-0.038760805708494314,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,18,0.07880667820782858,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,19,0.007896996917258719,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,20,0.020341142779347714,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,21,0.131853821586571,365,0.10259108882768189,Significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,22,0.032870520791066005,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,23,-0.007198901651529637,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,24,0.07011308321337059,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,25,-0.008006379662541535,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,26,-0.017788065857814575,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,27,-0.02728140753540265,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,28,-0.03166728477213944,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,29,0.07732383636355909,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,30,0.08704121149893852,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,31,-0.017179183518101163,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,32,0.011381009486270204,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,33,0.023270974096559777,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,34,0.0103019917173001,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,35,0.04159928056485266,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,36,-0.06980682910176804,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,37,0.010255334117714518,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,38,-0.02497822716334653,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,39,-0.0026696502691002247,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,40,-0.034320346472706584,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,41,-0.07888418988147218,365,0.10259108882768189,Not significant
Regression/ML,One-step-ahead operational forecast,Elastic Net,42,0.017127142326284532,365,0.10259108882768189,Not significant
