alpha,lambda,validation_RMSE,validation_MAE,validation_MAPE,model
0,6.860657156914061,6.7121499250894425,5.257778626976097,11.744350588430104,Ridge regression
0,6.251175283857273,6.634964232543211,5.194643337486587,11.62316126683521,Ridge regression
0,5.695838100600418,6.561531582018862,5.134451262980449,11.507137655561998,Ridge regression
0,5.189835542130691,6.491712949147028,5.077612276876889,11.396285613219852,Ridge regression
0,4.728784856353925,6.425491254361475,5.024841001975495,11.294674897595943,Ridge regression
0,4.30869264279263,6.362530238882952,4.973939978529979,11.196567205764111,Ridge regression
0,3.925920263661464,6.30285104001679,4.924676495858669,11.10152405679016,Ridge regression
0,3.577152327727428,6.2463943340713035,4.8765117549815296,11.008269084021089,Ridge regression
0,3.2593679739770614,6.193084396853074,4.831173647587625,10.919752003276646,Ridge regression
0,2.9698147063634974,6.1428540265183145,4.789062197778412,10.837364914428752,Ridge regression
0,2.7059845530024766,6.0956376854199235,4.749810681322313,10.760009735082964,Ridge regression
0,2.4655923433196767,6.051315462984264,4.713065006008344,10.68722363979054,Ridge regression
0,2.2465559149964043,6.009897444695221,4.679931762235539,10.621169703340238,Ridge regression
0,2.0469780792756787,5.971277607274513,4.649742015945427,10.561039034877727,Ridge regression
0,1.8651301884208178,5.9353884788363045,4.621785433761934,10.505123812261356,Ridge regression
0,1.6994371629957141,5.902148693665152,4.595072759563911,10.451374586097877,Ridge regression
0,1.5484638492802627,5.871373743674978,4.56998876390318,10.40026075295544,Ridge regression
0,1.4109025886554039,5.843155365535257,4.547518679562115,10.353997498040817,Ridge regression
0,1.2855618912897362,5.817295837431783,4.525981396322569,10.309430861701147,Ridge regression
0,1.1713561160245969,5.793704936949345,4.505784426839678,10.26726756876768,Ridge regression
0,1.0672960670697067,5.77227682956308,4.488852992150693,10.23061326010107,Ridge regression
0,0.972480426062456,5.752898576243147,4.473020665889775,10.195953846939894,Ridge regression
0,0.8860879452794327,5.735455093076713,4.459313798065592,10.16479095251249,Ridge regression
0,0.8073703343815187,5.71982977980446,4.446816131708127,10.135783435245264,Ridge regression
0.25,32.29481337526068,15.258711023231754,12.486372367142824,25.023249992882654,Elastic Net
0.25,29.425831163237902,14.96681519638244,12.24270548432432,24.545146441323695,Elastic Net
0.25,26.8117214236849,14.609093394760443,11.944129860068859,23.967447356017743,Elastic Net
0.25,24.429841988605443,14.133635865013115,11.550314893745119,23.220690408524554,Elastic Net
0.25,22.25956215780364,13.54249266654317,11.062765947482632,22.307114099710898,Elastic Net
0.25,20.282084005628413,12.975467378878893,10.595451612610796,21.437227248730903,Elastic Net
0.25,18.480279562334267,12.43780530377924,10.149568206073692,20.610543662570578,Elastic Net
0.25,16.83854245980124,11.90527988588764,9.69827621075634,19.776908221989085,Elastic Net
0.25,15.342652756640184,11.393359747942627,9.258451015355334,18.96468320045955,Elastic Net
0.25,13.979653771863179,10.908969895115355,8.847043452796933,18.21014515378024,Elastic Net
0.25,12.73773986031115,10.46426004260292,8.46487536624725,17.510093079338645,Elastic Net
0.25,11.606154157803234,10.057589820674938,8.115236940315684,16.87264909297751,Elastic Net
0.25,10.575095410325238,9.662284156001519,7.779322435155281,16.25360273335734,Elastic Net
0.25,9.635633080256206,9.28647131752164,7.464472117294774,15.669959672260724,Elastic Net
0.25,8.779629994323825,8.941071986450888,7.175220517449134,15.134952590348194,Elastic Net
0.25,7.999671863302313,8.625172894824965,6.908000523552072,14.640274004564418,Elastic Net
0.25,7.289003062986068,8.337130784707563,6.666564745133828,14.193911847089074,Elastic Net
0.25,6.641468120204629,8.075117448472664,6.446728475775903,13.786763021506617,Elastic Net
0.25,6.0514583970588065,7.8373244654666046,6.248360400801747,13.418765487470775,Elastic Net
0.25,5.513863511582324,7.621982105890851,6.06595697165485,13.079534618723898,Elastic Net
0.25,5.0240270740579795,7.427377257537112,5.8993063671940025,12.76888163817393,Elastic Net
0.25,4.577706355597506,7.2522286907283355,5.7519871104985825,12.496008126785899,Elastic Net
0.25,4.171035539653616,7.094223537289427,5.618902579200491,12.249618506287703,Elastic Net
0.25,3.800492238166445,6.95554098645133,5.498711610433494,12.022346852361009,Elastic Net
0.25,3.4628669823232623,6.831959699053793,5.387387751295529,11.802023402008965,Elastic Net
0.25,3.155235423674991,6.71398186894643,5.27976775540855,11.587242240290614,Elastic Net
0.25,2.8749330048289283,6.608376454172014,5.182088696934581,11.39123884854077,Elastic Net
0.25,2.619531880327311,6.513873646568582,5.096294788474856,11.219650870865756,Elastic Net
0.25,2.3868198878114226,6.429136234386113,5.021224809093132,11.068340925853837,Elastic Net
0.25,2.174781387329519,6.353426223734983,4.953150253173493,10.930306380009382,Elastic Net
0.25,1.9815798028278317,6.285894636924072,4.891637946881946,10.804829221793222,Elastic Net
0.25,1.805541714607395,6.225753801809963,4.836878912668895,10.692989869425476,Elastic Net
0.25,1.64514236496316,6.172275512767257,4.785903470087609,10.58854343189946,Elastic Net
0.25,1.498992451462187,6.1247884444160405,4.739080544486442,10.49222228860547,Elastic Net
0.25,1.3658260934706001,6.082675731946384,4.697202554503866,10.40530599092959,Elastic Net
0.25,1.244489867701124,6.045159626833287,4.659850957082776,10.327324143230394,Elastic Net
0.25,1.1339328178123567,6.010698300263645,4.62599759247612,10.255990826028732,Elastic Net
0.25,1.0331973515277098,5.979369852939322,4.595438915493859,10.191408197067737,Elastic Net
0.25,0.941410946429212,5.95007787895227,4.5662179621652585,10.129413219970894,Elastic Net
0.25,0.857778592585732,5.91708131409883,4.539039754749585,10.083902421999268,Elastic Net
0.25,0.7815759065572809,5.886700327623448,4.513789273353502,10.042237979670084,Elastic Net
0.25,0.7121428571321942,5.859178171738698,4.491435700020441,10.006154959236127,Elastic Net
0.25,0.648878048452529,5.827171269338353,4.465250227710272,9.966495272605464,Elastic Net
0.25,0.5912335110108464,5.798837162920942,4.443625492302222,9.936791614992012,Elastic Net
0.25,0.5387099554004803,5.768734643220058,4.420685518641707,9.900602348479902,Elastic Net
0.25,0.4908524477095539,5.742406117897586,4.401101059711217,9.869806006147368,Elastic Net
0.25,0.44724646910107124,5.719806906012248,4.384023156492233,9.843238458273808,Elastic Net
0.25,0.407514325449053,5.700483469123353,4.368236860338066,9.818608111775037,Elastic Net
0.25,0.3713118759327036,5.684025887337028,4.354679192704532,9.797462819353408,Elastic Net
0.25,0.33832555225325484,5.670813154352396,4.3443125262932005,9.781693232635947,Elastic Net
0.25,0.30826964265537066,5.659386811730485,4.335598384055503,9.76951806599467,Elastic Net
0.25,0.2808838172286045,5.649233749159526,4.32871560524398,9.760394387780012,Elastic Net
0.25,0.25593087305425466,5.639983942906185,4.32233769210552,9.751720715093061,Elastic Net
0.25,0.23319467966715807,5.632273793793764,4.316616356104213,9.7439813104873,Elastic Net
0.25,0.21247830703699638,5.625885645159205,4.312457796099365,9.738873732923778,Elastic Net
0.25,0.19360231985458276,5.620546597093216,4.309377139769915,9.736000415666101,Elastic Net
0.25,0.17640322334905414,5.615776794530765,4.305915877778461,9.731319544726228,Elastic Net
0.25,0.1607320471743804,5.612357741679882,4.303709602052211,9.729500191293452,Elastic Net
0.25,0.14645305509949327,5.609494790130932,4.302258495350417,9.728777958728733,Elastic Net
0.25,0.1334425693259879,5.606854676283234,4.300988409288675,9.72746362850813,Elastic Net
0.25,0.12158789925019937,5.60561879739624,4.300283745502423,9.727636447623178,Elastic Net
0.25,0.11078636539110409,5.604368616789642,4.299677167529754,9.727718667528128,Elastic Net
0.25,0.10094441002977604,5.603727073064636,4.299613041909429,9.728044196515745,Elastic Net
0.25,0.09197678685718277,5.602975573013899,4.3019792329038715,9.737078604499434,Elastic Net
0.25,0.08380582261143757,5.603150399887961,4.304835034714209,9.746239461925878,Elastic Net
0.25,0.07636074430916324,5.604885538206309,4.309373784188526,9.75864061497844,Elastic Net
0.25,0.06957706624376735,5.606840954217088,4.313849928880374,9.769769819834448,Elastic Net
0.25,0.06339603144110104,5.608888041488157,4.318309419676197,9.780749301990038,Elastic Net
0.25,0.057764102734657825,5.610793124522024,4.322505029389931,9.790879700946654,Elastic Net
0.25,0.05263249905224909,5.612884204741412,4.326536253047885,9.800593405335631,Elastic Net
0.25,0.04795677289769316,5.614740643711861,4.330044515886623,9.80905016607607,Elastic Net
