date,actual,model,forecast,error,abs_error,pct_error
2025-08-04,62.83156277143048,Weekly seasonal naive,24.106748195078826,38.72481457635165,38.72481457635165,61.632741361575405
2025-08-05,59.85210340066967,Weekly seasonal naive,25.125987064005393,34.726116336664276,34.726116336664276,58.01987626766637
2025-08-06,55.110684887716765,Weekly seasonal naive,60.12059637384876,-5.0099114861319975,5.0099114861319975,9.090635502605814
2025-08-07,53.80915091173512,Weekly seasonal naive,54.60630651041131,-0.7971555986761913,0.7971555986761913,1.481449874546044
2025-08-08,53.38351898815448,Weekly seasonal naive,46.24819238391089,7.135326604243588,7.135326604243588,13.366160079905708
2025-08-09,51.41277110515854,Weekly seasonal naive,43.534432134048465,7.878338971110075,7.878338971110075,15.323700321454947
2025-08-10,55.51144724684304,Weekly seasonal naive,31.76181810487113,23.749629141971912,23.749629141971912,42.78330023781278
2025-08-11,50.93121614602656,Weekly seasonal naive,24.106748195078826,26.82446795094773,26.82446795094773,52.66802951266356
2025-08-12,48.45288736087641,Weekly seasonal naive,25.125987064005393,23.326900296871017,23.326900296871017,48.14346794883987
2025-08-13,44.87950952286338,Weekly seasonal naive,60.12059637384876,-15.241086850985383,15.241086850985383,33.960012070143
2025-08-14,41.98514497512001,Weekly seasonal naive,54.60630651041131,-12.6211615352913,12.6211615352913,30.06101692103357
2025-08-15,46.93155377456052,Weekly seasonal naive,46.24819238391089,0.6833613906496296,0.6833613906496296,1.4560809001385526
2025-08-16,45.51176527549142,Weekly seasonal naive,43.534432134048465,1.977333141442955,1.977333141442955,4.344663691847106
2025-08-17,47.89222373806276,Weekly seasonal naive,31.76181810487113,16.130405633191632,16.130405633191632,33.68063617470294
2025-08-18,46.07106092273139,Weekly seasonal naive,24.106748195078826,21.964312727652565,21.964312727652565,47.67485768233178
2025-08-19,43.65903365052874,Weekly seasonal naive,25.125987064005393,18.533046586523348,18.533046586523348,42.449511674656364
2025-08-20,45.53776118425364,Weekly seasonal naive,60.12059637384876,-14.582835189595123,14.582835189595123,32.023610318896566
2025-08-21,55.34535013558782,Weekly seasonal naive,54.60630651041131,0.7390436251765138,0.7390436251765138,1.3353310140164758
2025-08-22,56.85610231218767,Weekly seasonal naive,46.24819238391089,10.607909928276783,10.607909928276783,18.65746946568807
2025-08-23,51.14345889325854,Weekly seasonal naive,43.534432134048465,7.609026759210074,7.609026759210074,14.87781023002544
2025-08-24,53.2376841036059,Weekly seasonal naive,31.76181810487113,21.475865998734772,21.475865998734772,40.33959470690079
2025-08-25,45.42833805794456,Weekly seasonal naive,24.106748195078826,21.321589862865732,21.321589862865732,46.93455841521147
2025-08-26,41.46385057642469,Weekly seasonal naive,25.125987064005393,16.337863512419297,16.337863512419297,39.402668312982485
2025-08-27,37.9278984837935,Weekly seasonal naive,60.12059637384876,-22.192697890055264,22.192697890055264,58.5128593389854
2025-08-28,40.29331412338765,Weekly seasonal naive,54.60630651041131,-14.312992387023655,14.312992387023655,35.52200333582363
2025-08-29,46.59541726080389,Weekly seasonal naive,46.24819238391089,0.3472248768930015,0.3472248768930015,0.7451910451826502
2025-08-30,62.14838225279812,Weekly seasonal naive,43.534432134048465,18.613950118749656,18.613950118749656,29.950820027840056
2025-08-31,60.08633315347259,Weekly seasonal naive,31.76181810487113,28.32451504860146,28.32451504860146,47.13969643688349
2025-09-01,45.18056756305834,Weekly seasonal naive,24.106748195078826,21.073819367979514,21.073819367979514,46.64354722540142
2025-09-02,47.190222552541414,Weekly seasonal naive,25.125987064005393,22.06423548853602,22.06423548853602,46.7559470904588
2025-09-03,50.20297699594046,Weekly seasonal naive,60.12059637384876,-9.917619377908302,9.917619377908302,19.755042372706832
2025-09-04,47.86279990682507,Weekly seasonal naive,54.60630651041131,-6.7435066035862405,6.7435066035862405,14.089243873559182
2025-09-05,45.65784298014305,Weekly seasonal naive,46.24819238391089,-0.5903494037678385,0.5903494037678385,1.2929857506071543
2025-09-06,53.112987369577176,Weekly seasonal naive,43.534432134048465,9.578555235528711,9.578555235528711,18.034299537471043
2025-09-07,54.272410674773425,Weekly seasonal naive,31.76181810487113,22.510592569902297,22.510592569902297,41.477045684955236
2025-09-08,40.57533423464023,Weekly seasonal naive,24.106748195078826,16.468586039561405,16.468586039561405,40.5876780812855
2025-09-09,36.0087602867003,Weekly seasonal naive,25.125987064005393,10.882773222694908,10.882773222694908,30.222571218910915
2025-09-10,39.448490739384575,Weekly seasonal naive,60.12059637384876,-20.672105634464188,20.672105634464188,52.40277954113356
2025-09-11,49.72216955678388,Weekly seasonal naive,54.60630651041131,-4.884136953627426,4.884136953627426,9.822855674166886
2025-09-12,46.264667440118686,Weekly seasonal naive,46.24819238391089,0.016475056207795546,0.016475056207795546,0.03561044987326355
2025-09-13,45.508180553354144,Weekly seasonal naive,43.534432134048465,1.9737484193056787,1.9737484193056787,4.337128831137603
2025-09-14,55.22781915205536,Weekly seasonal naive,31.76181810487113,23.466001047184232,23.466001047184232,42.48945804391938
2025-09-15,41.211300191786655,Weekly seasonal naive,24.106748195078826,17.10455199670783,17.10455199670783,41.504519190386375
2025-09-16,40.36953136061164,Weekly seasonal naive,25.125987064005393,15.243544296606245,15.243544296606245,37.76002292530772
2025-09-17,44.26576325457068,Weekly seasonal naive,60.12059637384876,-15.854833119278084,15.854833119278084,35.81737205816955
2025-09-18,48.96201665335918,Weekly seasonal naive,54.60630651041131,-5.644289857052129,5.644289857052129,11.527894974205246
