date,model_family,forecasting_setup,model,actual,forecast,error,abs_error,pct_error,model_label
2025-01-19,Baseline,Full test-year benchmark,TSLM,32.927906229929356,50.468412905369206,-17.54050667543985,17.54050667543985,53.26942610003139,Baseline: TSLM
2025-01-20,Baseline,Full test-year benchmark,TSLM,21.786288663649614,41.46556264639645,-19.679273982746835,19.679273982746835,90.3287121848416,Baseline: TSLM
2025-01-21,Baseline,Full test-year benchmark,TSLM,23.7448504333582,39.94139981344691,-16.196549380088708,16.196549380088708,68.21078711590796,Baseline: TSLM
2025-01-22,Baseline,Full test-year benchmark,TSLM,23.895587383895077,39.29939023724999,-15.403802853354913,15.403802853354913,64.46295964976622,Baseline: TSLM
2025-01-23,Baseline,Full test-year benchmark,TSLM,29.922319323068393,39.745672254825315,-9.823352931756922,9.823352931756922,32.8295170761836,Baseline: TSLM
2025-01-24,Baseline,Full test-year benchmark,TSLM,32.14623706011678,41.7897963286501,-9.643559268533316,9.643559268533316,29.999029903558743,Baseline: TSLM
2025-01-25,Baseline,Full test-year benchmark,TSLM,35.47392254840723,48.07531106593851,-12.601388517531277,12.601388517531277,35.52296338341382,Baseline: TSLM
2025-01-26,Baseline,Full test-year benchmark,TSLM,48.748572934047594,50.54072910262381,-1.7921561685762128,1.7921561685762128,3.676325399311356,Baseline: TSLM
2025-01-27,Baseline,Full test-year benchmark,TSLM,40.314434303013954,41.53787884365104,-1.2234445406370895,1.2234445406370895,3.0347555702787656,Baseline: TSLM
2025-01-28,Baseline,Full test-year benchmark,TSLM,45.09451078954806,40.0137160107015,5.08079477884656,5.08079477884656,11.266991680114154,Baseline: TSLM
2025-01-29,Baseline,Full test-year benchmark,TSLM,35.581240140759625,39.37170643450458,-3.790466293744956,3.790466293744956,10.65299095464308,Baseline: TSLM
2025-01-30,Baseline,Full test-year benchmark,TSLM,34.54309211983404,39.81798845207992,-5.2748963322458735,5.2748963322458735,15.27048103842771,Baseline: TSLM
2025-01-31,Baseline,Full test-year benchmark,TSLM,31.57414514750822,41.86211252590469,-10.287967378396472,10.287967378396472,32.583518351274776,Baseline: TSLM
2025-02-01,Baseline,Full test-year benchmark,TSLM,37.88281542493448,48.37720383500762,-10.494388410073142,10.494388410073142,27.702239900484624,Baseline: TSLM
2025-02-02,Baseline,Full test-year benchmark,TSLM,45.81435927990806,50.84262187169292,-5.028262591784859,5.028262591784859,10.97529829253775,Baseline: TSLM
2025-02-03,Baseline,Full test-year benchmark,TSLM,31.590679975578233,41.83977161272016,-10.249091637141923,10.249091637141923,32.44340307035232,Baseline: TSLM
2025-02-04,Baseline,Full test-year benchmark,TSLM,36.36481446817088,40.31560877977061,-3.950794311599736,3.950794311599736,10.86433237562028,Baseline: TSLM
2025-02-05,Baseline,Full test-year benchmark,TSLM,35.228183672034326,39.673599203573694,-4.445415531539368,4.445415531539368,12.618917775963377,Baseline: TSLM
2025-02-06,Baseline,Full test-year benchmark,TSLM,30.533011317363595,40.11988122114903,-9.586869903785434,9.586869903785434,31.39837667545601,Baseline: TSLM
2025-02-07,Baseline,Full test-year benchmark,TSLM,30.585562543255204,42.16400529497381,-11.578442751718608,11.578442751718608,37.855909092219434,Baseline: TSLM
2025-02-08,Baseline,Full test-year benchmark,TSLM,37.71872504174835,48.449520032262214,-10.730794990513864,10.730794990513864,28.449516728459564,Baseline: TSLM
2025-02-09,Baseline,Full test-year benchmark,TSLM,39.04062335132503,50.914938068947514,-11.874314717622482,11.874314717622482,30.41527951735297,Baseline: TSLM
